usda_symbol,scientific_name,common_name,state
ABCO,Abies concolor,,"CA North, CA South"
ABGR,Abies grandis,,"CA North, OR, WA"
ABLA,Abies lasiocarpa,,"OR, WA"
ABMA,Abies magnifica,,"CA North, CA South"
ABPR,Abies procera,,"OR, WA"
ABVI,Abronia villosa,,CA South
ACCI,Acer circinatum,,"CA North, OR, WA"
ACGL,Acer glabrum,,"OR, WA"
ACMA3,Acer macrophyllum,,"CA North, CA South, OR, WA"
ACMI2,Achillea millefolium,,CA North
ACTR,Achlys triphylla,,"OR, WA"
ACHY,Achnatherum hymenoides,,"CA North, CA South, OR, WA"
ACCO4,Aconitum columbianum,,"OR, WA"
ADFA,Adenostoma fasciculatum,,"CA North, CA South"
ADSP,Adenostoma sparsifolium,,CA South
ADPE,Adiantum pedatum,,"OR, WA"
AECA,Aesculus californica,,"CA North, CA South"
ALUN,Allium unifolium,,CA North
AMAL2,Amelanchier alnifolia,,CA South
AMFR,Amorpha fruticosa,,CA South
